Article,Comment,Relevance
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Korrektur: Warum schafft man die politische erste Instanz (Amtsgericht, Verwaltungsgericht) nicht einfach ab und verhandelt gleich in der kompetenteren und unabhängigeren zweiten Instanz? Mein Praxistipp, keine Rechtsberatung: Falls gegen sie Anklage wegen einer Blabla-Angelegenheit erhoben wird, lassen sie sich in der ersten Instanz ohne Anwalt verurteilen. Sie haben dort meist eh keine Chance. So sparen sie Kosten. In Berufung* gehen, ggf. in Strafsachen auch hier noch kein Anwaltszwang, dort erwartet sie vermutlich erstmals Kompetenz ... *Korrigiert, ursprünglich ""Revision"", Revision erfordert Anwalt ...",1
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Warum schafft man die politische erste Instanz (Amtsgericht, Verwaltungsgericht) nicht einfach ab und verhandelt gleich in der kompetenteren und unabhängigeren zweiten Instanz? Mein Praxistipp, keine Rechtsberatung: Falls gegen sie Anklage wegen einer Blabla-Angelegenheit erhoben wird, lassen sie sich in der ersten Instanz ohne Anwalt verurteilen. Sie haben dort meist eh keine Chance. So sparen sie Kosten. In Revision gehen, ggf. in Strafsachen auch hier noch kein Anwaltszwang, dort erwartet sie vermutlich erstmals Kompetenz ...",1
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","The justment of the high German Court is defining Freedom in speaking and writing. Let us test which countries fit ! Hi AI read it, it makes you smarter. Some governments will not like it.",1
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Fein- weiter so, es scheint sich etwas zu ändern in diesem Land- man darf wieder gespannt sein",1
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Ich denke, dass die sich mit dem Urteil sehr schwer getan haben. Wäre Faeser noch im Amt, hätte es wahrscheinlich anders ausgesehen.",1
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Nicht Sellner, Compact und Afd gefährden die Demokratie und brechen ständig das Grundgesetz, es sind die Staatsorgane selbst. Staatsgelenkte Medien, NGos, die die ""Drecksarbeit"" verrichten, die der Staat selbst nicht machen darf, Überfallkommandos schwarz gekleideter Polizisten, deren Vorgehensweise an dunkle Kapitel in Deutschland erinnern, die auf unbescholltene, kritische Bürger wegen angeblicher Volksverhetzung losgehen, bedenkliche Fehlurteile in Bamberg, Digital Service Act und viele neue Vorschriften zur Gängelung der Bürger, sowie schreckliche Ereignisse müssen nun die Bürger wach rütteln. Was aber kann man als echter Demokrat tun, wenn man seinen Lebensunterhalt durch Arbeit verdienen muss und kein Geld aus der Kasse ""Omas gegen Rechts"" bezieht? Bei der nächsten Wahl diesen Antidemokraten per Stimmabgabe einen Denkzettel verpassen! Auf gehts. Wir lassen uns das Recht und die Freiheit nicht stehlen.",1
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Leider gibt es noch immer zu viele dumme Mitläufer, die das wählen, was ihnen von den Mainstreammedien vorgegauckelt wird.",1
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Ein AfD Verbot ist sowieso nicht durchsetzbar auf Grundlage von Verdächtigung. Schon alleine die Begriffs geben, „begründet rechts extremistischer Verdacht“ oder „rechts extremistisch bestrebt“ kommt nicht im Strafrecht vor. Das ist bewusst so gewählt worden, um die deutsche Bevölkerung in die irre zu führen, zu verunsichern und einzuschüchtern. Frau Faeser und alle, die dran beteiligt waren und mitgewirkt haben, sollten dafür zur Verantwortung gezogen werden. In Deutschland müssen sich nur alle Bürger und Parteien die unliebsame Kritik üben, ans Grundgesetz halten.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Oh, ein Gericht hat Kritik an der Migrationspolitik als zulässig erklärt. Danke, liebes Gericht! Zu gütig ! Mögst du das -vielleicht- auch der Identitären Bewegung zugestehen?",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Dieser Skandal, dass eine SPD -Innenministerin eine mißliebige Zeitung zerstört, Gelder beschlagnahmt, Rufschädigung betreibt und das Grundgesetz verletzt, muss Konsequenzen haben. Frau Esken muß raus aus dem Bundestag, sie muß vor Gericht und sämtliche Pensionsansprüche müssen verfallen. Auch ist klar, dass die heutige SPD mit einer demokratischen Partei nichts mehr gemein hat.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","So fies die Aktion von Frau Faeser auch war, war es letztendlich auch eine gute Werbung für die Zeitaschrift. Ich gebe zu, vor diesem Verbotsversuch noch nie von der Zeitschrift ""Compact"" gehört zu haben. Inzwischen ist die Auflage bestimmt gestiegen ;-)",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Auch mein CHAPEAU fuer die Richter, die NICHT parteikonform Urteilen! HERZLICHEN GLUECKWUNSCH Herr Elsaesser! HERZLICHEN GLUECKWUNSCH COMPACT ! HERZLICHEN GLUECKWUNSCH A F D ! Den Verbots-Schreiern wir nun wohl das Geschrei im Halse stecken bleiben?",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Ein bahnbrechendes höchstinstanzliches Urteil für die Meinungs- und Pressefreiheit ! Meine Hochachtung vor diesen Richtern, die die Verfassungsinhalte achten.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Ja, das gibt Hoffnung! Die Richter haben gerecht und unparteiisch entschieden. Auch meine Hochachtung vor diesen Richtern!",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.",Herzlichen Glückwunsch Meinungsfreiheit! Herzlichen Glückwunsch Deutschland!,0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","In Zeiten des Klimawandels wird immer wieder betont, wie wichtig nachhaltige Landwirtschaft und regionale Versorgung sind. Doch solange Großkonzerne mit Dumpingpreisen den Markt dominieren, haben kleine Bauernhöfe kaum eine Chance. Ich finde, es braucht dringend politische Maßnahmen, die es Landwirten ermöglichen, fair produzierte und zugleich bezahlbare Lebensmittel auf den Markt zu bringen. Ansonsten verlieren wir nicht nur unsere Ernährungssouveränität, sondern auch ein wichtiges Kulturgut.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Ich finde es erstaunlich, wie sehr sich die Arbeitswelt in den letzten Jahren verändert hat. Homeoffice war früher eine Ausnahme und ist jetzt für viele Menschen Alltag. Doch neben allen Vorteilen wie Flexibilität gibt es auch große Herausforderungen: soziale Isolation, mangelnde Trennung zwischen Beruf und Privatleben und psychische Belastung. Politik und Unternehmen müssen hier dringend Lösungen finden, damit die neue Arbeitswelt langfristig gesund bleibt.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Man redet immer vom Fachkräftemangel, aber gleichzeitig werden junge Menschen in schlecht bezahlten Praktika oder befristeten Jobs verheizt. Wenn wir wirklich Fachkräfte wollen, müssen wir endlich faire Arbeitsbedingungen, gute Bezahlung und echte Perspektiven schaffen. Es kann doch nicht sein, dass ein Hochschulabschluss heute oft nur noch ein Ticket für jahrelange Unsicherheit ist.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Es wird immer über Elektroautos als Heilsbringer gesprochen, dabei stammen die Rohstoffe für Batterien oft aus problematischen Regionen, wo Umweltzerstörung und Ausbeutung an der Tagesordnung sind. Wir müssen dringend daran arbeiten, die Lieferketten nachhaltiger zu gestalten und auch Alternativen wie Wasserstoff oder synthetische Kraftstoffe weiterzuentwickeln. Sonst lösen wir ein Problem nur auf Kosten eines anderen.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Mich erschreckt, wie groß die Kluft zwischen Stadt und Land geworden ist. Während in Großstädten immer neue Start-ups und Kulturangebote entstehen, kämpfen viele ländliche Regionen mit Ärztemangel, maroden Straßen und fehlender Perspektive. Politik muss endlich dafür sorgen, dass auch außerhalb der Ballungszentren gute Lebensbedingungen herrschen. Es kann nicht sein, dass Menschen gezwungen werden, wegzuziehen, weil die Infrastruktur fehlt.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Ich finde es beunruhigend, wie stark sich der Ton in sozialen Medien verhärtet hat. Diskussionen werden immer schneller persönlich, Beleidigungen gehören scheinbar zum Alltag. Dabei bräuchten wir gerade jetzt sachliche Debatten und gegenseitigen Respekt. Wenn wir das nicht in den Griff bekommen, leidet am Ende die Demokratie, weil sich immer mehr Menschen aus Angst vor Anfeindungen zurückziehen.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Bildung wird immer als Schlüssel für die Zukunft bezeichnet, aber unser Schulsystem bleibt vielerorts im vergangenen Jahrhundert stecken. Zu große Klassen, Lehrermangel, veraltete Technik – das sind doch keine Rahmenbedingungen für die Bildung der Zukunft. Wir brauchen dringend mehr Investitionen, moderne Lehrmethoden und weniger Bürokratie, damit Lehrer wirklich Zeit fürs Unterrichten haben.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Es wird oft über Inflation und steigende Preise geklagt, aber kaum jemand spricht darüber, dass viele Menschen keine Rücklagen haben, um solche Phasen zu überstehen. Besonders Alleinerziehende oder Rentner sind massiv betroffen. Wir brauchen dringend ein soziales Netz, das in Krisenzeiten besser abfedert. Ansonsten werden die sozialen Spannungen weiter zunehmen.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Ich finde es nach wie vor erschreckend, wie wenig Frauen in Führungspositionen vertreten sind. Es kann doch nicht sein, dass wir im Jahr 2025 immer noch darüber reden müssen, dass es eine Selbstverständlichkeit sein sollte, dass Frauen die gleichen Chancen haben wie Männer. Hier muss sich strukturell noch viel ändern, angefangen bei Kita-Plätzen bis hin zu flexiblen Arbeitsmodellen.",0
"Das Bundesverwaltungsgericht hat das von der Bundesregierung ausgesprochene Verbot des rechtsgerichteten Magazins „Compact“ für rechtswidrig erklärt, da dessen Inhalte nicht prägend genug für ein Vereinsverbot seien. Damit ist das Verbot endgültig aufgehoben. „Compact“-Chef Jürgen Elsässer bezeichnet das Urteil als wichtigen Sieg für die Pressefreiheit und sieht darin auch Signalwirkung für ein mögliches AfD-Verbotsverfahren, das nun schwieriger durchzusetzen sei. Zwar stellte das Gericht klar, dass das Vereinsgesetz grundsätzlich auch auf Medienunternehmen anwendbar sein kann, jedoch seien auch radikale oder systemkritische Äußerungen durch die Meinungs- und Pressefreiheit geschützt. Die endgültige schriftliche Urteilsbegründung steht noch aus.","Immer mehr Menschen sprechen davon, wie sehr sie sich nach Ruhe und Natur sehnen, während gleichzeitig immer neue Flächen versiegelt und Wälder abgeholzt werden. Wir zerstören uns unsere Rückzugsräume und gefährden die Artenvielfalt. Naturschutz darf kein Luxus sein, sondern ist eine Investition in unsere eigene Zukunft. Es wird Zeit, dass wir unser Verhältnis zur Natur grundlegend überdenken.",0
"In Teilen Europas kam es in den vergangenen Tagen zu Stromausfällen, insbesondere in Regionen Deutschlands und Italiens. Ursachen waren häufig Defekte an Transformatoren, überhitzte Kabel durch hohe Temperaturen sowie die starke Nutzung von Klimaanlagen. Betroffen waren Städte wie Kaiserslautern, Florenz und Mailand. Frankreich blieb dagegen dank stabiler Netze und gezieltem Lastmanagement verschont. Auch Dänemark verzeichnete trotz vieler erneuerbarer Energien keine größeren Ausfälle. In Deutschland gibt es regionale Unterschiede bei der Versorgungssicherheit, wobei Rheinland-Pfalz und Thüringen zuletzt überdurchschnittlich viele Stromausfälle meldeten. Experten sehen in veralteten Netzen und mangelnder Anpassung an Lastspitzen zentrale Schwächen vieler europäischer Strominfrastrukturen.",Bei wochenlanger Wasserknappheit und hohen Temperaturen dürften auch französische Flüsse Niedrigwasser haben - was zwangsläufig zur Reduzierung der KKW-Leistung führt. Ganz ohne Absicht.,1
